Bounty,Start Lat,Start Lon,End Lat,End Lon,Launch Time,Target Lat,Target Lon,Blast Radius
3,-28.153,0.738,-11.000,96.709,0.000,-36.000,-128.000,1.000
22,-6.447,-59.008,-77.567,-179.841,24.000,64.000,48.000,1.000
26,-10.846,-119.642,-68.865,0.069,48.000,74.000,115.000,1.000
13,47.760,11.996,38.729,157.920,72.000,-13.000,-146.000,1.000
17,-69.287,-7.726,14.377,39.596,96.000,56.000,-158.000,1.000
24,73.607,114.728,3.676,12.112,120.000,10.000,-99.000,1.000
11,55.013,170.586,34.962,-11.867,144.000,16.000,144.000,1.000
2,7.703,-8.169,40.023,88.353,168.000,0.000,163.000,1.000
27,-14.050,-71.372,-9.041,-163.654,192.000,-67.000,-132.110,1.000
23,9.438,24.081,16.685,-68.775,216.000,-88.000,121.000,1.000
3,-40.473,2.490,16.528,-72.843,240.000,64.000,99.000,1.000
14,43.519,27.116,42.239,176.684,264.000,-3.000,-89.000,1.000
20,-36.236,-128.058,50.718,-154.426,288.000,49.000,166.000,1.000
15,-17.337,-24.866,-60.381,-148.171,312.000,27.000,-5.000,1.000
28,54.661,55.058,35.303,-122.006,336.000,21.000,18.000,1.000
